ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
ABW,Aruba,total,Sanitation,2009,98.32774,97369.04835,At least basic
ABW,Aruba,total,Drinking water,2009,96.36322,95423.67451,At least basic
ABW,Aruba,total,Sanitation,2009,0,0,Limited service
ABW,Aruba,total,Drinking water,2009,0,0,Limited service
ABW,Aruba,total,Hygiene,2009,0.17,168.3425,No handwashing facility
ABW,Aruba,total,Sanitation,2009,1.07344,1062.97465,Open defecation
ABW,Aruba,total,Drinking water,2009,0,0,Surface water
ABW,Aruba,total,Sanitation,2009,0.59882,592.97701,Unimproved
ABW,Aruba,total,Drinking water,2009,3.63678,3601.32549,Unimproved
AFG,Afghanistan,total,Sanitation,2000,12.16618,2449092.13231,Basic service
AFG,Afghanistan,rural,Sanitation,2000,9.29056,1457312.53957,Basic service
AFG,Afghanistan,urban,Sanitation,2000,22.3154,991779.51759,Basic service
AFG,Afghanistan,total,Drinking water,2000,18.24791,3673364.63016,Basic service
AFG,Afghanistan,rural,Drinking water,2000,13.44152,2108430.76766,Basic service
AFG,Afghanistan,urban,Drinking water,2000,35.21157,1564933.88843,Basic service
AFG,Afghanistan,total,Sanitation,2000,5.14131,1034961.80083,Limited service
AFG,Afghanistan,rural,Sanitation,2000,2.59701,407366.27207,Limited service
AFG,Afghanistan,urban,Sanitation,2000,14.12112,627595.52055,Limited service
AFG,Afghanistan,total,Drinking water,2000,2.73667,550900.40518,Limited service
AFG,Afghanistan,rural,Drinking water,2000,2.64556,414981.45318,Limited service
AFG,Afghanistan,urban,Drinking water,2000,3.05823,135918.94762,Limited service
AFG,Afghanistan,total,Sanitation,2000,23.95086,4821387.32445,Open defecation
AFG,Afghanistan,rural,Sanitation,2000,29.11498,4566961.86434,Open defecation
AFG,Afghanistan,urban,Sanitation,2000,5.72466,254425.42171,Open defecation
AFG,Afghanistan,total,Drinking water,2000,24.3691,4905580.44782,Surface water
AFG,Afghanistan,rural,Drinking water,2000,28.84715,4524950.09941,Surface water
AFG,Afghanistan,urban,Drinking water,2000,8.56432,380630.30934,Surface water
AFG,Afghanistan,total,Sanitation,2000,10.13209,2039623.24241,Safely managed service
AFG,Afghanistan,rural,Sanitation,2000,10.27801,1612203.99071,Safely managed service
AFG,Afghanistan,urban,Sanitation,2000,9.61709,427419.23547,Safely managed service
AFG,Afghanistan,total,Drinking water,2000,11.48305,2311576.03858,Safely managed service
AFG,Afghanistan,rural,Drinking water,2000,8.53575,1338913.39016,Safely managed service
AFG,Afghanistan,urban,Drinking water,2000,21.88526,972662.63006,Safely managed service
AFG,Afghanistan,total,Sanitation,2000,48.60956,9785262.54717,Unimproved
AFG,Afghanistan,rural,Sanitation,2000,48.71944,7642108.34985,Unimproved
AFG,Afghanistan,urban,Sanitation,2000,48.22173,2143153.77962,Unimproved
AFG,Afghanistan,total,Drinking water,2000,43.16326,8688905.38358,Unimproved
AFG,Afghanistan,rural,Drinking water,2000,46.53002,7298677.26906,Unimproved
AFG,Afghanistan,urban,Drinking water,2000,31.28062,1390227.70552,Unimproved
AFG,Afghanistan,total,Sanitation,2001,12.17803,2470229.76838,Basic service
AFG,Afghanistan,rural,Sanitation,2001,9.29056,1466744.87134,Basic service
AFG,Afghanistan,urban,Sanitation,2001,22.3154,1003484.94664,Basic service
AFG,Afghanistan,total,Drinking water,2001,18.26772,3705481.41906,Basic service
AFG,Afghanistan,rural,Drinking water,2001,13.44152,2122077.40692,Basic service
AFG,Afghanistan,urban,Drinking water,2001,35.21157,1583403.94381,Basic service
AFG,Afghanistan,total,Sanitation,2001,5.15179,1045005.60664,Limited service
AFG,Afghanistan,rural,Sanitation,2001,2.59701,410002.91571,Limited service
AFG,Afghanistan,urban,Sanitation,2001,14.12112,635002.68586,Limited service
AFG,Afghanistan,total,Drinking water,2001,2.73704,555190.50076,Limited service
AFG,Afghanistan,rural,Drinking water,2001,2.64556,417667.38543,Limited service
AFG,Afghanistan,urban,Drinking water,2001,3.05823,137523.12432,Limited service
AFG,Afghanistan,total,Sanitation,2001,23.92958,4853949.26893,Open defecation
AFG,Afghanistan,rural,Sanitation,2001,29.11498,4596521.13754,Open defecation
AFG,Afghanistan,urban,Sanitation,2001,5.72466,257428.26525,Open defecation
AFG,Afghanistan,total,Drinking water,2001,24.35065,4939360.00589,Surface water
AFG,Afghanistan,rural,Drinking water,2001,28.84715,4554237.45504,Surface water
AFG,Afghanistan,urban,Drinking water,2001,8.56432,385122.67988,Surface water
AFG,Afghanistan,total,Sanitation,2001,10.13149,2055102.63651,Safely managed service
AFG,Afghanistan,rural,Sanitation,2001,10.27801,1622638.84426,Safely managed service
AFG,Afghanistan,urban,Sanitation,2001,9.61709,432463.83001,Safely managed service
AFG,Afghanistan,total,Drinking water,2001,11.4952,2331721.81248,Safely managed service
AFG,Afghanistan,rural,Drinking water,2001,8.53575,1347579.39348,Safely managed service
AFG,Afghanistan,urban,Drinking water,2001,21.88526,984142.43299,Safely managed service
AFG,Afghanistan,total,Sanitation,2001,48.6091,9860019.67833,Unimproved
AFG,Afghanistan,rural,Sanitation,2001,48.71944,7691571.24779,Unimproved
AFG,Afghanistan,urban,Sanitation,2001,48.22173,2168448.24687,Unimproved
AFG,Afghanistan,total,Drinking water,2001,43.14938,8752553.31131,Unimproved
AFG,Afghanistan,rural,Drinking water,2001,46.53002,7345917.33847,Unimproved
AFG,Afghanistan,urban,Drinking water,2001,31.28062,1406635.79975,Unimproved
AFG,Afghanistan,total,Sanitation,2002,12.88074,2753660.11085,Basic service
AFG,Afghanistan,rural,Sanitation,2002,9.94124,1652148.52397,Basic service
AFG,Afghanistan,urban,Sanitation,2002,23.14595,1101511.54352,Basic service
AFG,Afghanistan,total,Drinking water,2002,19.53798,4176851.62923,Basic service
AFG,Afghanistan,rural,Drinking water,2002,14.73421,2448697.63065,Basic service
AFG,Afghanistan,urban,Drinking water,2002,36.31351,1728153.81016,Basic service
AFG,Afghanistan,total,Sanitation,2002,5.45389,1165939.15112,Limited service
AFG,Afghanistan,rural,Sanitation,2002,2.78109,462192.26052,Limited service
AFG,Afghanistan,urban,Sanitation,2002,14.78776,703746.88086,Limited service
AFG,Afghanistan,total,Drinking water,2002,2.95652,632047.87787,Limited service
AFG,Afghanistan,rural,Drinking water,2002,2.89999,481952.79416,Limited service
AFG,Afghanistan,urban,Drinking water,2002,3.15393,150095.06397,Limited service
AFG,Afghanistan,total,Sanitation,2002,23.37303,4996714.49313,Open defecation
