ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
ABW,Aruba,total,Sanitation,2019,98.72179,105707.34211,At least basic
ABW,Aruba,total,Hygiene,2019,98.60724,105584.6916,Basic service
ABW,Aruba,total,Hygiene,2019,1.22276,1309.2792,Limited service
ABW,Aruba,total,Sanitation,2019,0,0,Limited service
ABW,Aruba,total,Hygiene,2019,0.17,182.0292,No handwashing facility
ABW,Aruba,total,Sanitation,2019,0.90754,971.75864,Open defecation
ABW,Aruba,total,Sanitation,2019,0.37067,396.89925,Unimproved
ABW,Aruba,total,Sanitation,2020,98.76119,106069.52108,At least basic
ABW,Aruba,total,Hygiene,2020,98.60724,105904.17907,Basic service
ABW,Aruba,total,Hygiene,2020,1.22276,1313.24093,Limited service
ABW,Aruba,total,Sanitation,2020,0,0,Limited service
ABW,Aruba,total,Hygiene,2020,0.17,182.58,No handwashing facility
ABW,Aruba,total,Sanitation,2020,0.89095,956.88145,Open defecation
ABW,Aruba,total,Sanitation,2020,0.34786,373.59747,Unimproved
ABW,Aruba,total,Sanitation,2021,98.8006,106267.94641,At least basic
ABW,Aruba,total,Hygiene,2021,98.60724,106059.97852,Basic service
ABW,Aruba,total,Hygiene,2021,1.22276,1315.17288,Limited service
ABW,Aruba,total,Sanitation,2021,0,0,Limited service
ABW,Aruba,total,Hygiene,2021,0.17,182.8486,No handwashing facility
ABW,Aruba,total,Sanitation,2021,0.87436,940.44532,Open defecation
ABW,Aruba,total,Sanitation,2021,0.32504,349.60828,Unimproved
ABW,Aruba,total,Sanitation,2022,98.84,106531.73065,At least basic
ABW,Aruba,total,Hygiene,2022,98.60724,106280.85874,Basic service
ABW,Aruba,total,Hygiene,2022,1.22276,1317.91186,Limited service
ABW,Aruba,total,Sanitation,2022,0,0,Limited service
ABW,Aruba,total,Hygiene,2022,0.17,183.2294,No handwashing facility
ABW,Aruba,total,Sanitation,2022,0.85777,924.52289,Open defecation
ABW,Aruba,total,Sanitation,2022,0.30223,325.74646,Unimproved
ABW,Aruba,total,Sanitation,2023,98.84,106686.90945,At least basic
ABW,Aruba,total,Hygiene,2023,98.60724,106435.67211,Basic service
ABW,Aruba,total,Hygiene,2023,1.22276,1319.83159,Limited service
ABW,Aruba,total,Sanitation,2023,0,0,Limited service
ABW,Aruba,total,Hygiene,2023,0.17,183.4963,No handwashing facility
ABW,Aruba,total,Sanitation,2023,0.85777,925.86959,Open defecation
ABW,Aruba,total,Sanitation,2023,0.30223,326.22096,Unimproved
ABW,Aruba,total,Sanitation,2024,98.84,106812.43625,At least basic
ABW,Aruba,total,Hygiene,2024,98.60724,106560.90331,Basic service
ABW,Aruba,total,Hygiene,2024,1.22276,1321.38449,Limited service
ABW,Aruba,total,Sanitation,2024,0,0,Limited service
ABW,Aruba,total,Hygiene,2024,0.17,183.7122,No handwashing facility
ABW,Aruba,total,Sanitation,2024,0.85777,926.95896,Open defecation
ABW,Aruba,total,Sanitation,2024,0.30223,326.60479,Unimproved
AFG,Afghanistan,total,Hygiene,2019,46.69828,17678158.68502,Basic service
AFG,Afghanistan,rural,Hygiene,2019,41.35025,11622172.72805,Basic service
AFG,Afghanistan,urban,Hygiene,2019,62.11608,6055985.95065,Basic service
AFG,Afghanistan,total,Sanitation,2019,25.66569,9716033.01654,Basic service
AFG,Afghanistan,rural,Sanitation,2019,20.15486,5664857.03899,Basic service
AFG,Afghanistan,urban,Sanitation,2019,41.5528,4051175.98886,Basic service
AFG,Afghanistan,total,Drinking water,2019,43.10084,16316306.71867,Basic service
AFG,Afghanistan,rural,Drinking water,2019,38.49196,10818802.39647,Basic service
AFG,Afghanistan,urban,Drinking water,2019,56.38776,5497504.5694,Basic service
AFG,Afghanistan,total,Hygiene,2019,39.47997,14945584.66208,Limited service
AFG,Afghanistan,rural,Hygiene,2019,42.64246,11985369.67794,Limited service
AFG,Afghanistan,urban,Hygiene,2019,30.36284,2960214.92498,Limited service
AFG,Afghanistan,total,Sanitation,2019,11.87397,4495023.64951,Limited service
AFG,Afghanistan,rural,Sanitation,2019,8.34346,2345068.51971,Limited service
AFG,Afghanistan,urban,Sanitation,2019,22.05203,2149955.14339,Limited service
AFG,Afghanistan,total,Drinking water,2019,4.32471,1637169.13341,Limited service
AFG,Afghanistan,rural,Drinking water,2019,4.6317,1301816.52648,Limited service
AFG,Afghanistan,urban,Drinking water,2019,3.4397,335352.60072,Limited service
AFG,Afghanistan,total,Hygiene,2019,13.82175,5232377.56385,No handwashing facility
AFG,Afghanistan,rural,Hygiene,2019,16.00729,4499113.36722,No handwashing facility
AFG,Afghanistan,urban,Hygiene,2019,7.52107,733264.13411,No handwashing facility
AFG,Afghanistan,total,Sanitation,2019,13.63862,5163051.21866,Open defecation
AFG,Afghanistan,rural,Sanitation,2019,18.34963,5157468.59528,Open defecation
AFG,Afghanistan,urban,Sanitation,2019,0.05726,5582.5776,Open defecation
AFG,Afghanistan,total,Drinking water,2019,10.01678,3791964.36132,Surface water
AFG,Afghanistan,rural,Drinking water,2019,13.13417,3691576.55801,Surface water
AFG,Afghanistan,urban,Drinking water,2019,1.02967,100387.77209,Surface water
AFG,Afghanistan,total,Sanitation,2019,21.8527,8272586.19745,Safely managed service
